#Coverage (X)	Coverage
1.0	99.95652610106009
2.0	99.95652610106009
3.0	99.95652610106009
4.0	99.83948098852957
5.0	99.70571514563755
6.0	99.46159248235963
7.0	99.41143029127512
8.0	99.1940607965756
9.0	98.91649667257465
10.0	98.41487476172959
11.0	97.55208507507608
12.0	96.53546466909674
13.0	95.56231816205732
14.0	93.9504397552085
15.0	92.42885329231181
16.0	90.39895662642544
17.0	88.78707821957663
18.0	86.66020131759356
19.0	84.14540347122363
20.0	81.47677490552788
21.0	78.6342507440725
22.0	75.61783098685751
23.0	72.4643012406782
24.0	69.3509012473665
25.0	66.01678761328296
26.0	62.77965421529613
27.0	58.438952613450155
28.0	54.52964585493094
29.0	51.22562953549811
30.0	48.18245660970471
31.0	44.737986155235255
32.0	42.0325719827442
33.0	39.598033642109485
34.0	37.635019897669125
35.0	35.52486372604754
36.0	33.17727318329264
37.0	31.090526034177174
38.0	28.946928401832594
39.0	27.00397953382604
40.0	25.034277497241078
41.0	23.198341303548133
42.0	21.308898772698385
43.0	19.78062401765709
44.0	18.630237768785733
45.0	17.182222519479637
46.0	15.844564090559459
47.0	14.777781493495624
48.0	13.73440791893789
49.0	12.453599973246824
50.0	11.313246162592378
51.0	10.380229408420561
