#Coverage	Number of genomic locations
0.0	10.0
2.0	1.0
3.0	1.0
4.0	1.0
9.0	1.0
11.0	1.0
20.0	1.0
21.0	3.0
22.0	1.0
23.0	4.0
24.0	1.0
25.0	12.0
26.0	10.0
27.0	8.0
28.0	24.0
29.0	21.0
30.0	12.0
31.0	7.0
32.0	6.0
33.0	6.0
34.0	7.0
35.0	7.0
36.0	7.0
37.0	18.0
38.0	6.0
39.0	14.0
40.0	16.0
41.0	14.0
42.0	25.0
43.0	17.0
44.0	34.0
45.0	32.0
46.0	20.0
47.0	31.0
48.0	29.0
49.0	70.0
50.0	37.0
51.0	52.0
52.0	71.0
53.0	97.0
54.0	113.0
55.0	97.0
56.0	96.0
57.0	116.0
58.0	90.0
59.0	105.0
60.0	89.0
61.0	81.0
62.0	61.0
63.0	80.0
64.0	141.0
65.0	156.0
66.0	135.0
67.0	140.0
68.0	129.0
69.0	169.0
70.0	178.0
71.0	190.0
72.0	193.0
73.0	214.0
74.0	207.0
75.0	215.0
76.0	155.0
77.0	186.0
78.0	234.0
79.0	205.0
80.0	234.0
81.0	224.0
82.0	238.0
83.0	227.0
84.0	231.0
85.0	233.0
86.0	271.0
87.0	290.0
88.0	255.0
89.0	223.0
90.0	232.0
91.0	305.0
92.0	300.0
93.0	287.0
94.0	308.0
95.0	236.0
96.0	271.0
97.0	283.0
98.0	314.0
99.0	252.0
100.0	225.0
101.0	252.0
102.0	283.0
103.0	276.0
104.0	239.0
105.0	212.0
106.0	221.0
107.0	254.0
108.0	286.0
109.0	221.0
110.0	267.0
111.0	201.0
112.0	225.0
113.0	198.0
114.0	208.0
115.0	202.0
116.0	195.0
117.0	184.0
118.0	209.0
119.0	226.0
120.0	227.0
121.0	175.0
122.0	205.0
123.0	210.0
124.0	252.0
125.0	240.0
126.0	210.0
127.0	222.0
128.0	172.0
129.0	158.0
130.0	185.0
131.0	183.0
132.0	229.0
133.0	204.0
134.0	221.0
135.0	202.0
136.0	164.0
137.0	204.0
138.0	135.0
139.0	179.0
140.0	153.0
141.0	145.0
142.0	131.0
143.0	130.0
144.0	152.0
145.0	188.0
146.0	186.0
147.0	187.0
148.0	166.0
149.0	152.0
150.0	171.0
151.0	152.0
152.0	148.0
153.0	179.0
154.0	158.0
155.0	189.0
156.0	160.0
157.0	139.0
158.0	144.0
159.0	142.0
160.0	145.0
161.0	137.0
162.0	139.0
163.0	142.0
164.0	168.0
165.0	151.0
166.0	156.0
167.0	167.0
168.0	133.0
169.0	138.0
170.0	130.0
171.0	120.0
172.0	114.0
173.0	135.0
174.0	140.0
175.0	141.0
176.0	97.0
177.0	94.0
178.0	98.0
179.0	101.0
180.0	115.0
181.0	120.0
182.0	99.0
183.0	105.0
184.0	119.0
185.0	105.0
186.0	97.0
187.0	69.0
188.0	85.0
189.0	99.0
190.0	103.0
191.0	84.0
192.0	79.0
193.0	88.0
194.0	62.0
195.0	69.0
196.0	42.0
197.0	54.0
198.0	47.0
199.0	61.0
200.0	56.0
201.0	39.0
202.0	78.0
203.0	71.0
204.0	81.0
205.0	76.0
206.0	63.0
207.0	72.0
208.0	59.0
209.0	55.0
210.0	62.0
211.0	75.0
212.0	64.0
213.0	58.0
214.0	66.0
215.0	68.0
216.0	48.0
217.0	53.0
218.0	44.0
219.0	72.0
220.0	57.0
221.0	57.0
222.0	48.0
223.0	47.0
224.0	63.0
225.0	52.0
226.0	47.0
227.0	41.0
228.0	49.0
229.0	57.0
230.0	39.0
231.0	48.0
232.0	54.0
233.0	49.0
234.0	40.0
235.0	37.0
236.0	42.0
237.0	29.0
238.0	38.0
239.0	36.0
240.0	42.0
241.0	45.0
242.0	44.0
243.0	43.0
244.0	46.0
245.0	43.0
246.0	26.0
247.0	27.0
248.0	21.0
249.0	16.0
250.0	19.0
251.0	19.0
252.0	20.0
253.0	17.0
254.0	22.0
255.0	35.0
256.0	17.0
257.0	19.0
258.0	30.0
259.0	29.0
260.0	22.0
261.0	18.0
262.0	32.0
263.0	18.0
264.0	28.0
265.0	21.0
266.0	14.0
267.0	12.0
268.0	19.0
269.0	12.0
270.0	13.0
271.0	11.0
272.0	14.0
273.0	13.0
274.0	8.0
275.0	13.0
276.0	8.0
277.0	11.0
278.0	16.0
279.0	14.0
280.0	8.0
281.0	7.0
282.0	8.0
283.0	9.0
284.0	12.0
285.0	11.0
286.0	19.0
287.0	11.0
288.0	8.0
289.0	3.0
290.0	4.0
291.0	3.0
292.0	5.0
293.0	8.0
294.0	9.0
295.0	6.0
296.0	8.0
297.0	5.0
298.0	9.0
299.0	9.0
300.0	12.0
301.0	5.0
302.0	4.0
303.0	6.0
304.0	8.0
305.0	7.0
306.0	14.0
307.0	12.0
308.0	6.0
309.0	7.0
310.0	8.0
311.0	7.0
312.0	3.0
313.0	13.0
314.0	5.0
315.0	2.0
316.0	5.0
317.0	9.0
318.0	8.0
319.0	7.0
320.0	9.0
321.0	8.0
322.0	8.0
323.0	8.0
324.0	10.0
325.0	11.0
326.0	7.0
327.0	7.0
328.0	11.0
329.0	9.0
330.0	6.0
331.0	6.0
332.0	8.0
333.0	7.0
334.0	5.0
335.0	7.0
336.0	4.0
337.0	9.0
338.0	9.0
339.0	9.0
340.0	7.0
341.0	6.0
342.0	12.0
343.0	6.0
344.0	9.0
345.0	10.0
346.0	10.0
347.0	8.0
348.0	5.0
349.0	4.0
350.0	6.0
351.0	4.0
352.0	4.0
353.0	3.0
354.0	5.0
355.0	6.0
356.0	6.0
357.0	3.0
358.0	7.0
359.0	14.0
360.0	8.0
361.0	8.0
362.0	5.0
363.0	6.0
364.0	5.0
365.0	5.0
366.0	3.0
367.0	2.0
368.0	10.0
369.0	5.0
370.0	4.0
371.0	7.0
372.0	4.0
373.0	6.0
374.0	3.0
375.0	4.0
376.0	5.0
377.0	6.0
378.0	10.0
379.0	8.0
380.0	6.0
381.0	5.0
382.0	3.0
383.0	7.0
384.0	2.0
385.0	3.0
386.0	4.0
387.0	6.0
388.0	4.0
389.0	4.0
390.0	11.0
391.0	7.0
392.0	7.0
393.0	6.0
394.0	3.0
395.0	3.0
396.0	2.0
397.0	5.0
398.0	6.0
399.0	2.0
400.0	5.0
401.0	3.0
402.0	5.0
403.0	3.0
404.0	1.0
405.0	3.0
407.0	3.0
408.0	7.0
409.0	1.0
411.0	1.0
412.0	4.0
413.0	2.0
414.0	3.0
416.0	3.0
417.0	1.0
418.0	2.0
419.0	3.0
420.0	1.0
422.0	1.0
423.0	1.0
424.0	4.0
426.0	2.0
427.0	3.0
428.0	8.0
429.0	3.0
431.0	3.0
432.0	4.0
433.0	3.0
434.0	4.0
436.0	2.0
437.0	3.0
440.0	3.0
441.0	2.0
444.0	2.0
445.0	4.0
446.0	1.0
447.0	5.0
448.0	5.0
449.0	2.0
450.0	5.0
451.0	3.0
452.0	3.0
453.0	7.0
454.0	2.0
455.0	3.0
456.0	3.0
457.0	2.0
458.0	8.0
459.0	2.0
460.0	3.0
461.0	1.0
463.0	3.0
465.0	2.0
2186.0	1.0
6290.0	1.0
14170.0	1.0
14666.0	1.0
14970.0	1.0
15281.0	1.0
15670.0	1.0
16110.0	1.0
16608.0	1.0
17156.0	1.0
17758.0	1.0
