#Duplication rate	Coverage
1.0	4757.0
2.0	3800.0
3.0	2022.0
4.0	1364.0
5.0	823.0
6.0	619.0
7.0	396.0
8.0	334.0
9.0	228.0
10.0	159.0
11.0	135.0
12.0	85.0
13.0	74.0
14.0	67.0
15.0	38.0
16.0	30.0
17.0	28.0
18.0	25.0
19.0	15.0
20.0	15.0
21.0	15.0
22.0	4.0
23.0	7.0
24.0	7.0
25.0	6.0
26.0	7.0
27.0	5.0
28.0	2.0
29.0	1.0
30.0	4.0
31.0	3.0
32.0	2.0
33.0	1.0
34.0	1.0
35.0	0.0
36.0	2.0
37.0	1.0
38.0	1.0
39.0	1.0
40.0	1.0
41.0	1.0
42.0	1.0
43.0	1.0
44.0	1.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	1.0
49.0	0.0
50.0	18.0
