#Insert size (bp)	insert size
5.0	5.0
6.0	7.0
7.0	11.0
8.0	28.0
9.0	233.0
10.0	197.0
11.0	209.0
12.0	209.0
13.0	252.0
14.0	217.0
15.0	236.0
16.0	216.0
17.0	203.0
18.0	213.0
19.0	906.0
20.0	516.0
21.0	407.0
22.0	622.0
23.0	583.0
24.0	619.0
25.0	547.0
26.0	498.0
27.0	480.0
28.0	442.0
29.0	406.0
30.0	461.0
31.0	364.0
32.0	340.0
33.0	15198.0
34.0	814.0
35.0	277.0
36.0	13.0
37.0	3.0
38.0	2.0
39.0	2.0
43.0	1.0
44.0	1.0
50.0	6.0
51.0	7.0
52.0	1.0
53.0	5.0
54.0	8.0
55.0	12.0
56.0	12.0
57.0	10.0
58.0	10.0
59.0	8.0
60.0	14.0
61.0	16.0
62.0	14.0
63.0	24.0
64.0	12.0
65.0	14.0
66.0	13.0
67.0	21.0
68.0	30.0
69.0	24.0
70.0	33.0
71.0	30.0
72.0	36.0
73.0	34.0
74.0	36.0
75.0	31.0
76.0	41.0
77.0	54.0
78.0	48.0
79.0	45.0
80.0	44.0
81.0	45.0
82.0	65.0
83.0	63.0
84.0	62.0
85.0	85.0
86.0	96.0
87.0	95.0
88.0	89.0
89.0	95.0
90.0	95.0
91.0	96.0
92.0	112.0
93.0	107.0
94.0	107.0
95.0	103.0
96.0	115.0
97.0	118.0
98.0	113.0
99.0	122.0
100.0	134.0
101.0	128.0
102.0	134.0
103.0	147.0
104.0	123.0
105.0	142.0
106.0	139.0
107.0	143.0
108.0	164.0
109.0	150.0
110.0	150.0
111.0	134.0
112.0	145.0
113.0	154.0
114.0	163.0
115.0	175.0
116.0	192.0
117.0	153.0
118.0	149.0
119.0	171.0
120.0	172.0
121.0	145.0
122.0	119.0
123.0	162.0
124.0	164.0
125.0	125.0
126.0	152.0
127.0	143.0
128.0	171.0
129.0	140.0
130.0	153.0
131.0	159.0
132.0	173.0
133.0	168.0
134.0	174.0
135.0	146.0
136.0	134.0
137.0	175.0
138.0	144.0
139.0	127.0
140.0	145.0
141.0	159.0
142.0	133.0
143.0	145.0
144.0	145.0
145.0	143.0
146.0	159.0
147.0	130.0
148.0	136.0
149.0	140.0
150.0	149.0
151.0	142.0
152.0	154.0
153.0	134.0
154.0	120.0
155.0	134.0
156.0	153.0
157.0	126.0
158.0	161.0
159.0	134.0
160.0	134.0
161.0	131.0
162.0	130.0
163.0	140.0
164.0	125.0
165.0	135.0
166.0	120.0
167.0	129.0
168.0	117.0
169.0	140.0
170.0	126.0
171.0	108.0
172.0	126.0
173.0	111.0
174.0	118.0
175.0	123.0
176.0	105.0
177.0	106.0
178.0	135.0
179.0	103.0
180.0	98.0
181.0	133.0
182.0	96.0
183.0	131.0
184.0	124.0
185.0	105.0
186.0	106.0
187.0	116.0
188.0	98.0
189.0	90.0
190.0	112.0
191.0	114.0
192.0	93.0
193.0	79.0
194.0	95.0
195.0	104.0
196.0	110.0
197.0	94.0
198.0	89.0
199.0	106.0
200.0	105.0
201.0	112.0
202.0	110.0
203.0	78.0
204.0	84.0
205.0	72.0
206.0	92.0
207.0	90.0
208.0	83.0
209.0	90.0
210.0	86.0
211.0	94.0
212.0	84.0
213.0	92.0
214.0	79.0
215.0	80.0
216.0	72.0
217.0	84.0
218.0	71.0
219.0	71.0
220.0	93.0
221.0	69.0
222.0	72.0
223.0	100.0
224.0	73.0
225.0	79.0
226.0	76.0
227.0	74.0
228.0	80.0
229.0	79.0
230.0	83.0
231.0	71.0
232.0	69.0
233.0	70.0
234.0	61.0
235.0	60.0
236.0	65.0
237.0	73.0
238.0	68.0
239.0	61.0
240.0	61.0
241.0	76.0
242.0	64.0
243.0	59.0
244.0	55.0
245.0	62.0
246.0	60.0
247.0	52.0
248.0	54.0
249.0	50.0
250.0	59.0
251.0	50.0
252.0	63.0
253.0	62.0
254.0	54.0
255.0	56.0
256.0	51.0
257.0	43.0
258.0	54.0
259.0	58.0
260.0	49.0
261.0	51.0
262.0	57.0
263.0	47.0
264.0	53.0
265.0	54.0
266.0	49.0
267.0	41.0
268.0	39.0
269.0	52.0
270.0	49.0
271.0	46.0
272.0	40.0
273.0	43.0
274.0	37.0
275.0	46.0
276.0	43.0
277.0	38.0
278.0	43.0
279.0	35.0
280.0	48.0
281.0	34.0
282.0	36.0
283.0	38.0
284.0	44.0
285.0	35.0
286.0	30.0
287.0	31.0
288.0	40.0
289.0	42.0
290.0	40.0
291.0	39.0
292.0	34.0
293.0	37.0
294.0	31.0
295.0	33.0
296.0	36.0
297.0	37.0
298.0	24.0
299.0	40.0
300.0	30.0
301.0	25.0
302.0	22.0
303.0	27.0
304.0	24.0
305.0	26.0
306.0	29.0
307.0	24.0
308.0	24.0
309.0	27.0
310.0	35.0
311.0	22.0
312.0	21.0
313.0	29.0
314.0	20.0
315.0	20.0
316.0	24.0
317.0	26.0
318.0	20.0
319.0	15.0
320.0	23.0
321.0	21.0
322.0	31.0
323.0	26.0
324.0	24.0
325.0	32.0
326.0	19.0
327.0	23.0
328.0	28.0
329.0	29.0
330.0	25.0
