#Insert size (bp)	insert size
2.0	1.0
5.0	4.0
6.0	3.0
7.0	5.0
8.0	18.0
9.0	58.0
10.0	43.0
11.0	61.0
12.0	46.0
13.0	57.0
14.0	53.0
15.0	57.0
16.0	49.0
17.0	44.0
18.0	52.0
19.0	327.0
20.0	239.0
21.0	226.0
22.0	458.0
23.0	487.0
24.0	418.0
25.0	403.0
26.0	344.0
27.0	292.0
28.0	270.0
29.0	229.0
30.0	205.0
31.0	206.0
32.0	164.0
33.0	1059.0
34.0	322.0
35.0	78.0
36.0	3.0
37.0	2.0
50.0	4.0
51.0	1.0
52.0	3.0
53.0	5.0
54.0	3.0
55.0	4.0
56.0	4.0
57.0	8.0
58.0	12.0
59.0	6.0
60.0	11.0
61.0	7.0
62.0	7.0
63.0	9.0
64.0	7.0
65.0	16.0
66.0	13.0
67.0	7.0
68.0	7.0
69.0	8.0
70.0	15.0
71.0	14.0
72.0	18.0
73.0	17.0
74.0	18.0
75.0	23.0
76.0	24.0
77.0	30.0
78.0	31.0
79.0	41.0
80.0	35.0
81.0	46.0
82.0	45.0
83.0	41.0
84.0	60.0
85.0	56.0
86.0	56.0
87.0	56.0
88.0	70.0
89.0	53.0
90.0	68.0
91.0	67.0
92.0	61.0
93.0	74.0
94.0	85.0
95.0	83.0
96.0	79.0
97.0	76.0
98.0	81.0
99.0	90.0
100.0	96.0
101.0	95.0
102.0	99.0
103.0	102.0
104.0	112.0
105.0	108.0
106.0	101.0
107.0	100.0
108.0	100.0
109.0	118.0
110.0	123.0
111.0	105.0
112.0	119.0
113.0	112.0
114.0	137.0
115.0	111.0
116.0	112.0
117.0	97.0
118.0	110.0
119.0	108.0
120.0	109.0
121.0	129.0
122.0	108.0
123.0	113.0
124.0	126.0
125.0	121.0
126.0	122.0
127.0	111.0
128.0	138.0
129.0	119.0
130.0	121.0
131.0	123.0
132.0	119.0
133.0	119.0
134.0	113.0
135.0	140.0
136.0	134.0
137.0	122.0
138.0	123.0
139.0	117.0
140.0	137.0
141.0	110.0
142.0	112.0
143.0	104.0
144.0	112.0
145.0	101.0
146.0	88.0
147.0	124.0
148.0	93.0
149.0	107.0
150.0	116.0
151.0	124.0
152.0	101.0
153.0	105.0
154.0	120.0
155.0	112.0
156.0	110.0
157.0	114.0
158.0	111.0
159.0	108.0
160.0	108.0
161.0	111.0
162.0	109.0
163.0	117.0
164.0	97.0
165.0	101.0
166.0	85.0
167.0	104.0
168.0	108.0
169.0	96.0
170.0	97.0
171.0	98.0
172.0	114.0
173.0	90.0
174.0	88.0
175.0	85.0
176.0	99.0
177.0	91.0
178.0	78.0
179.0	96.0
180.0	80.0
181.0	91.0
182.0	92.0
183.0	82.0
184.0	96.0
185.0	95.0
186.0	78.0
187.0	76.0
188.0	97.0
189.0	90.0
190.0	80.0
191.0	91.0
192.0	74.0
193.0	75.0
194.0	87.0
195.0	74.0
196.0	66.0
197.0	90.0
198.0	92.0
199.0	91.0
200.0	89.0
201.0	69.0
202.0	79.0
203.0	73.0
204.0	72.0
205.0	64.0
206.0	78.0
207.0	74.0
208.0	64.0
209.0	84.0
210.0	67.0
211.0	72.0
212.0	73.0
213.0	65.0
214.0	72.0
215.0	67.0
216.0	69.0
217.0	58.0
218.0	78.0
219.0	70.0
220.0	71.0
221.0	65.0
222.0	62.0
223.0	55.0
224.0	61.0
225.0	56.0
226.0	58.0
227.0	63.0
228.0	48.0
229.0	62.0
230.0	55.0
231.0	51.0
232.0	58.0
233.0	53.0
234.0	46.0
235.0	50.0
