#Coverage	Number of genomic locations
0.0	16577.0
1.0	3928.0
2.0	6027.0
3.0	1275.0
4.0	1258.0
5.0	240.0
6.0	239.0
7.0	187.0
8.0	60.0
9.0	34.0
11.0	11.0
12.0	20.0
13.0	10.0
24.0	1.0
94.0	1.0
3362.0	1.0
7520.0	1.0
25607.0	1.0
26162.0	1.0
26386.0	1.0
26645.0	1.0
27008.0	1.0
27447.0	1.0
27924.0	1.0
28480.0	1.0
29177.0	1.0
29976.0	1.0
30774.0	1.0
31685.0	1.0
32492.0	1.0
32626.0	1.0
32639.0	1.0
32766.0	1.0
32894.0	1.0
33027.0	1.0
33162.0	1.0
33325.0	1.0
33360.0	1.0
33496.0	1.0
33678.0	1.0
33878.0	1.0
34083.0	1.0
34117.0	1.0
34328.0	1.0
34572.0	1.0
34613.0	1.0
34636.0	1.0
34674.0	1.0
34680.0	2.0
