#Duplication rate	Coverage
1.0	2676.0
2.0	2826.0
3.0	2240.0
4.0	1953.0
5.0	1641.0
6.0	1465.0
7.0	1312.0
8.0	1091.0
9.0	1026.0
10.0	861.0
11.0	819.0
12.0	694.0
13.0	655.0
14.0	571.0
15.0	493.0
16.0	478.0
17.0	426.0
18.0	409.0
19.0	371.0
20.0	291.0
21.0	286.0
22.0	275.0
23.0	250.0
24.0	214.0
25.0	182.0
26.0	196.0
27.0	187.0
28.0	198.0
29.0	125.0
30.0	135.0
31.0	133.0
32.0	111.0
33.0	107.0
34.0	103.0
35.0	84.0
36.0	75.0
37.0	70.0
38.0	78.0
39.0	74.0
40.0	54.0
41.0	65.0
42.0	57.0
43.0	60.0
44.0	40.0
45.0	33.0
46.0	46.0
47.0	43.0
48.0	34.0
49.0	35.0
50.0	520.0
