#Position (bp)	insert size
38.0	9557.5
113.0	0.0
188.0	0.0
263.0	102.0
338.0	288.0
413.0	258.0
488.0	323.0
563.0	191.8
638.0	148.5
713.0	0.0
788.0	126.66666666666667
863.0	125.0
938.0	110.0
1013.0	19.0
1088.0	0.0
1163.0	182.71428571428572
1238.0	192.0
1313.0	144.0
1388.0	0.0
1463.0	168.0
1538.0	0.0
1613.0	0.0
1688.0	261.0
1763.0	214.0
1838.0	119.0
1913.0	328.0
1988.0	185.0
2063.0	333.5
2138.0	182.25
2213.0	121.75
2288.0	142.33333333333334
2363.0	111.0
2438.0	206.0
2513.0	134.5
2588.0	73.0
2663.0	171.0
2738.0	464.0
2813.0	164.0
2888.0	166.0
2963.0	125.0
3038.0	209.0
3113.0	105.5
3188.0	160.0
3263.0	287.0
3338.0	262.5
3413.0	0.0
3488.0	177.33333333333334
3563.0	179.2
3638.0	98.0
3713.0	158.0
3788.0	160.5
3863.0	216.83333333333334
3938.0	19.0
4013.0	166.5
4088.0	159.0
4163.0	102.0
4238.0	224.66666666666666
4313.0	120.33333333333333
4388.0	119.5
4463.0	0.0
4538.0	180.0
4613.0	274.0
4688.0	0.0
4763.0	218.28571428571428
4838.0	221.5
4913.0	122.0
4988.0	195.5
5063.0	245.5
5138.0	182.0
5213.0	0.0
5288.0	267.3333333333333
5363.0	0.0
5438.0	133.0
5513.0	186.0
5588.0	183.625
5663.0	281.5
5738.0	298.3333333333333
5813.0	190.4
5888.0	200.5
5963.0	87.0
6038.0	187.33333333333334
6113.0	186.66666666666666
6188.0	138.33333333333334
6263.0	129.66666666666666
6338.0	204.5
6413.0	111.0
6488.0	137.0
6563.0	247.5
6638.0	233.5
6713.0	122.5
6788.0	189.0
6863.0	0.0
6938.0	205.0
7013.0	0.0
7088.0	123.0
7163.0	138.0
7238.0	0.0
7313.0	0.0
7388.0	0.0
7463.0	109.0
7538.0	197.0
7613.0	179.0
7688.0	96.66666666666667
7763.0	77.0
7838.0	319.0
