#Position (bp)	Coverage
38.0	2331.3333333333335
113.0	2057.4266666666667
188.0	2346.9333333333334
263.0	2483.8933333333334
338.0	2141.9066666666668
413.0	2397.64
488.0	2668.0133333333333
563.0	2784.2533333333336
638.0	2853.76
713.0	3018.4933333333333
788.0	3462.2266666666665
863.0	3359.12
938.0	3083.826666666667
1013.0	2793.266666666667
1088.0	1887.7733333333333
1163.0	2088.6266666666666
1238.0	3013.7733333333335
1313.0	3551.173333333333
1388.0	2708.48
1463.0	1830.4133333333334
1538.0	1976.3466666666666
1613.0	1855.1866666666667
1688.0	2036.64
1763.0	2328.2533333333336
1838.0	3129.9466666666667
1913.0	3436.28
1988.0	2414.9733333333334
2063.0	2494.4266666666667
2138.0	2514.48
2213.0	2770.4533333333334
2288.0	2692.4666666666667
2363.0	3386.6666666666665
2438.0	2628.866666666667
2513.0	2336.2266666666665
2588.0	3004.8
2663.0	2804.72
2738.0	2208.5733333333333
2813.0	2410.0266666666666
2888.0	2665.36
2963.0	2021.1466666666668
3038.0	1866.4133333333334
3113.0	1785.6133333333332
3188.0	1973.2933333333333
3263.0	2453.56
3338.0	3330.1866666666665
3413.0	3660.9333333333334
3488.0	2986.4533333333334
3563.0	3179.693333333333
3638.0	2749.786666666667
3713.0	1961.6933333333334
3788.0	1938.0266666666666
3863.0	2444.52
3938.0	2329.8133333333335
4013.0	2721.7466666666664
4088.0	3274.5733333333333
4163.0	3338.64
4238.0	3448.786666666667
4313.0	2369.68
4388.0	2801.88
4463.0	2749.8
4538.0	1825.3333333333333
4613.0	2416.68
4688.0	2572.6
4763.0	2946.6666666666665
4838.0	2710.36
4913.0	3142.8133333333335
4988.0	3146.826666666667
5063.0	2600.3733333333334
5138.0	3263.0
5213.0	3049.1466666666665
5288.0	2207.76
5363.0	1909.88
5438.0	2441.8133333333335
5513.0	2960.5866666666666
5588.0	3336.3333333333335
5663.0	2909.76
5738.0	2490.6666666666665
5813.0	3403.36
5888.0	4371.213333333333
5963.0	4298.826666666667
6038.0	3109.0
6113.0	2819.7066666666665
6188.0	2913.2266666666665
6263.0	4121.373333333333
6338.0	3851.4133333333334
6413.0	3298.9466666666667
6488.0	2610.36
6563.0	1504.4933333333333
6638.0	2007.48
6713.0	2624.653333333333
6788.0	1914.2266666666667
6863.0	1828.3866666666668
6938.0	1511.5466666666666
7013.0	1394.0933333333332
7088.0	1904.2266666666667
7163.0	2423.346666666667
7238.0	2454.6666666666665
7313.0	2474.9866666666667
7388.0	2367.9333333333334
7463.0	2675.826666666667
7538.0	2297.96
7613.0	1936.44
7688.0	2185.24
7763.0	2083.96
7838.0	2090.4133333333334
7913.0	2224.7733333333335
7988.0	1961.2666666666667
8063.0	2192.56
8138.0	2118.173333333333
8213.0	2860.4666666666667
8288.0	2503.8
8363.0	1825.0
8438.0	2155.68
8513.0	2607.7066666666665
8588.0	2569.4533333333334
8663.0	3160.24
8738.0	2995.266666666667
8813.0	2309.173333333333
8888.0	2006.28
8963.0	1871.2933333333333
9038.0	2087.786666666667
9113.0	2805.48
9188.0	2660.0666666666666
9263.0	1830.0666666666666
9338.0	1601.4
9413.0	2121.693333333333
9488.0	2316.2
9563.0	2153.28
9638.0	1548.6266666666668
9713.0	1456.7066666666667
9788.0	2016.04
9863.0	2792.76
9938.0	3278.4533333333334
10013.0	3168.653333333333
10088.0	2643.76
10163.0	2563.1866666666665
10238.0	2519.3866666666668
10313.0	2770.5066666666667
10388.0	3362.4933333333333
10463.0	3603.24
10538.0	3928.306666666667
10613.0	3195.5733333333333
10688.0	3104.48
10763.0	3388.6
10838.0	2457.8
10913.0	2374.5333333333333
10988.0	2464.1466666666665
11063.0	2089.7066666666665
11138.0	1958.6133333333332
11213.0	2233.16
11288.0	2878.76
11363.0	3173.0666666666666
11438.0	3265.3866666666668
11513.0	2760.5466666666666
11588.0	1841.4133333333334
11663.0	2616.8533333333335
11738.0	3033.1466666666665
11813.0	2695.9733333333334
11888.0	2580.1066666666666
11963.0	3703.6
12038.0	3572.306666666667
12113.0	2239.8933333333334
