#Position (bp)	mapping quality
38.0	59.99129172714078
113.0	60.0
188.0	60.0
263.0	59.99209902554649
338.0	60.0
413.0	60.0
488.0	59.602294095524634
563.0	60.0
638.0	60.0
713.0	59.97407901971565
788.0	59.997721576668944
863.0	60.0
938.0	60.0
1013.0	59.96020995597697
1088.0	59.995879120879124
1163.0	59.99654894742896
1238.0	60.0
1313.0	60.0
1388.0	60.0
1463.0	60.0
1538.0	60.0
1613.0	60.0
1688.0	59.933612162251876
1763.0	59.996497781928554
1838.0	59.92577128276502
1913.0	59.988116458704695
1988.0	59.98041136141038
2063.0	59.97680083516993
2138.0	59.87367682320603
2213.0	59.95556345538571
2288.0	60.0
2363.0	60.0
2438.0	59.967804554708586
2513.0	59.99565878011721
2588.0	59.9963746223565
2663.0	59.89027664293218
2738.0	59.97367216117216
2813.0	60.0
2888.0	59.988155751863005
2963.0	59.99505725348052
3038.0	60.0
3113.0	60.0
3188.0	59.95405316704956
3263.0	60.0
3338.0	59.90629931614939
3413.0	59.986987285493534
3488.0	59.997753818508535
3563.0	59.96501321722905
3638.0	59.996768982229405
3713.0	60.0
3788.0	60.0
3863.0	59.960738913776616
3938.0	59.98865784499055
4013.0	59.99034749034749
4088.0	59.99343879857111
4163.0	59.97408293460925
4238.0	59.99817878281985
4313.0	59.99272418601831
4388.0	60.0
4463.0	59.99426550702476
4538.0	60.0
4613.0	59.98037933289732
4688.0	59.9880604934996
4763.0	60.0
4838.0	60.0
4913.0	60.0
4988.0	59.99475822303761
5063.0	60.0
5138.0	59.99769452449568
5213.0	59.971218149496316
5288.0	60.0
5363.0	59.99044814136751
5438.0	59.99332591768632
5513.0	60.0
5588.0	60.0
5663.0	59.99405027517477
5738.0	60.0
5813.0	59.971124819530125
5888.0	59.97870884343396
5963.0	60.0
6038.0	59.938529838640825
6113.0	59.99390708301599
6188.0	59.99461883408072
6263.0	60.0
6338.0	59.99206978588422
6413.0	60.0
6488.0	59.99397862411561
6563.0	60.0
6638.0	60.0
6713.0	60.0
6788.0	60.0
6863.0	59.85508628086567
6938.0	60.0
7013.0	60.0
7088.0	59.98920572096789
7163.0	59.989330488130165
7238.0	59.96002180628748
7313.0	59.97404563642262
7388.0	60.0
7463.0	59.98944281524927
7538.0	59.99165449614021
7613.0	60.0
7688.0	60.0
7763.0	60.0
7838.0	59.91792309751093
7913.0	60.0
7988.0	60.0
8063.0	59.970140764965166
8138.0	59.98804383925606
8213.0	59.987088999827854
8288.0	60.0
8363.0	59.94903459766735
8438.0	59.98345740281224
8513.0	59.99409128957605
8588.0	59.993636315426635
8663.0	59.994946304485154
8738.0	60.0
8813.0	59.99543795620438
8888.0	60.0
8963.0	59.994021522518935
9038.0	59.85469253239458
9113.0	60.0
9188.0	59.95116883116883
9263.0	59.9912606510815
9338.0	60.0
9413.0	60.0
9488.0	60.0
9563.0	59.869341428005804
9638.0	60.0
9713.0	59.99247837532907
9788.0	59.980497318381275
9863.0	60.0
9938.0	59.99775826639268
10013.0	60.0
10088.0	59.989186591373304
10163.0	60.0
10238.0	59.99627583638508
10313.0	60.0
10388.0	59.970481298822854
10463.0	59.94418946208922
10538.0	59.960817240414215
10613.0	59.992685900040634
10688.0	59.91616334625439
10763.0	59.96750192422817
10838.0	59.98881779213518
10913.0	59.986301369863014
10988.0	59.99664504585104
11063.0	59.843666995522504
11138.0	59.93595963516398
11213.0	60.0
11288.0	59.99445727482679
11363.0	59.995571465475884
11438.0	59.997912462598286
11513.0	59.97533268419345
11588.0	59.99823131829954
11663.0	59.98337105639983
11738.0	59.99419251802739
11813.0	60.0
11888.0	60.0
11963.0	60.0
12038.0	60.0
12113.0	60.0
12188.0	60.0
12263.0	59.99566207569678
12338.0	59.99524206018794
12413.0	60.0
12488.0	59.99473175871455
12563.0	59.989965296650915
12638.0	60.0
12713.0	59.988545246277205
12788.0	59.94469463537963
12863.0	60.0
12938.0	59.97706171490989
13013.0	60.0
13088.0	60.0
13163.0	60.0
13238.0	60.0
13313.0	59.99582434407405
13388.0	59.99655251666284
13463.0	59.99717779868297
13538.0	59.97487612534022
13613.0	59.922429443802606
13688.0	60.0
13763.0	59.99596774193548
13838.0	60.0
13913.0	59.990198080457425
13988.0	60.0
14063.0	60.0
14138.0	59.99324932493249
14213.0	59.99373084424631
14288.0	59.997353797300875
14363.0	60.0
14438.0	59.927104247104246
14513.0	59.99687597625742
14588.0	60.0
14663.0	59.99737532808399
14738.0	59.996614950634694
14813.0	59.967627562817945
14888.0	59.92111688474301
14963.0	59.989670607138756
15038.0	59.900266829972445
15113.0	60.0
15188.0	60.0
15263.0	60.0
15338.0	59.95760821062026
15413.0	59.96525364836692
15488.0	59.97414132328967
15563.0	59.984130482697815
15638.0	59.993747394747814
15713.0	59.99339315209142
15788.0	59.99597679954404
15863.0	60.0
15938.0	60.0
16013.0	60.0
16088.0	60.0
16163.0	59.987021882548035
16238.0	60.0
16313.0	59.99464453072701
16388.0	60.0
16463.0	60.0
16538.0	59.97282765797537
16613.0	59.984477673720704
16688.0	60.0
16763.0	60.0
16838.0	60.0
16913.0	59.975488944492675
16988.0	59.99677661974857
17063.0	59.996150638352475
17138.0	59.98109640831758
17213.0	59.97580450036293
17288.0	59.997479203428284
17363.0	59.9963836904439
17438.0	60.0
17513.0	59.961689755430136
17588.0	59.99606479963271
17663.0	59.99443534176276
17738.0	59.99771419863614
17813.0	59.98290537412301
17888.0	59.99444624427269
17963.0	60.0
18038.0	59.989645353352316
18113.0	59.99264104660671
18188.0	59.98857578065499
18263.0	60.0
18338.0	59.95043662969082
18413.0	59.99404525605399
18488.0	59.94975926313586
18563.0	59.97402147558019
18638.0	59.9750558644702
18713.0	59.91283942339926
18788.0	59.92281855213321
18863.0	59.99229485039168
18938.0	59.97537577591956
19013.0	59.98924923848772
19088.0	59.979035639413
19163.0	60.0
19238.0	60.0
19313.0	60.0
19388.0	60.0
19463.0	59.99442171811082
19538.0	59.97771508499087
19613.0	59.97558200837981
19688.0	60.0
19763.0	59.950465225249346
19838.0	59.98970619772678
19913.0	60.0
19988.0	59.991326032744226
20063.0	59.996635922738356
20138.0	59.99640233847999
20213.0	59.99773294037633
20288.0	60.0
20363.0	60.0
20438.0	59.89198334200937
20513.0	59.989639095147645
20588.0	59.90243902439025
20663.0	59.98197927616759
20738.0	60.0
20813.0	59.92499832585549
20888.0	59.98850023957834
20963.0	60.0
21038.0	59.9743242279438
21113.0	60.0
21188.0	60.0
21263.0	60.0
21338.0	60.0
21413.0	60.0
21488.0	59.986018060005826
21563.0	59.958569330816026
21638.0	59.99129526462396
21713.0	59.982089552238804
21788.0	60.0
21863.0	59.95435709566993
21938.0	59.991714423807224
22013.0	59.9870700801655
22088.0	59.93949908803772
22163.0	60.0
22238.0	60.0
22313.0	59.98375671163651
22388.0	60.0
22463.0	59.99007362064687
22538.0	60.0
22613.0	59.98154414026453
22688.0	60.0
22763.0	59.959223300970876
22838.0	59.923002887391725
22913.0	59.88971509733478
22988.0	59.92368569813454
23063.0	60.0
23138.0	59.938176197836164
23213.0	59.996861596401295
23288.0	59.987330010980656
23363.0	60.0
23438.0	60.0
23513.0	60.0
23588.0	59.84347425765365
23663.0	59.997304824364385
23738.0	59.99628689894177
23813.0	59.99253204995229
23888.0	59.96301610074924
23963.0	59.97242330230955
24038.0	59.89173011751243
24113.0	60.0
24188.0	59.937954118703566
24263.0	60.0
24338.0	60.0
24413.0	60.0
24488.0	60.0
24563.0	59.98446903513881
24638.0	59.996409120833086
24713.0	60.0
24788.0	59.95013876475846
24863.0	59.9524960766849
24938.0	59.99304938795999
25013.0	59.93672466905337
25088.0	59.99124279354886
25163.0	59.9949005609383
25238.0	60.0
25313.0	59.983758910042404
25388.0	59.987127225917185
25463.0	59.98805811716314
25538.0	60.0
25613.0	60.0
25688.0	59.996324655436446
25763.0	59.98670654702559
25838.0	59.990507831039395
25913.0	60.0
25988.0	60.0
26063.0	60.0
26138.0	59.99222797927461
26213.0	60.0
26288.0	59.966329966329965
26363.0	59.992777175875766
